statistic,factor,level,lwr,upr,est
b2,cop,BB1,0.0556232588855293,0.0663544562134658,0.061117582930946
b2,cop,BB7,0.0574563930655223,0.0597667665411531,0.0585249513153319
b2,cop,BB8,0.0568463142064994,0.0605291638472737,0.0587848631602042
b2,cop,C,0.0577121535787842,0.0589805293957154,0.0583863118703159
b2,cop,F,0.0576752014625199,0.0592803433104158,0.0584657250026054
b2,cop,G,0.0582403805324382,0.0592237379563847,0.0587436767071719
b2,cop,I,0.0580388298825644,0.0623156791883832,0.0601824532853584
b2,cop,J,0.0587221531302547,0.0597059779794543,0.0591884930195563
b2,cop,N,0.0578827789025728,0.0597680526784915,0.0587582082363022
b2,cop,t,0.0576584577513831,0.0593425503690254,0.0584884608563874
b2,cop,Tawn,0.0653558528037864,0.0663279783652337,0.0658105864625412
b2,margin,beta,0.0583281021680311,0.0610296472933972,0.05958651914902
b2,margin,bks,0.0591932502848025,0.0617875754767622,0.0604073744668657
b2,margin,nks,0.0574239759773567,0.0594669859909238,0.0584152215515807
b2,margin,norm,0.0592343860682169,0.0612836458064252,0.0603004531404321
b2,n,100,0.0537190319417776,0.0558103417548909,0.0546889689421174
b2,n,25,0.0655426528420016,0.0677449914042238,0.0666201974012396
b2,n,50,0.056675973756262,0.0587129540050299,0.0577230098875668
d,cop,BB1,-0.000577466100007056,0.000596170635006641,1.63843210561597e-05
d,cop,BB7,-9.19945611107045e-05,0.000166280846010486,3.50622075221411e-05
d,cop,BB8,-0.000376712529772823,9.46190477938741e-06,-0.000179084510587716
d,cop,C,-7.94908269659216e-05,8.30196276228386e-05,7.22024477829994e-07
d,cop,F,-0.000112516246731727,8.34923592094139e-05,-1.9358908609921e-05
d,cop,G,-2.19102688062231e-05,9.63565269144521e-05,3.96250046958803e-05
d,cop,I,-0.000348589390785854,0.000347657792467125,1.39538240086069e-05
d,cop,J,-9.49214401284626e-05,3.13111064792699e-05,-3.10552931999026e-05
d,cop,N,-8.13007913008832e-05,0.000153660593480623,4.00661226798933e-05
