statistic,factor,level,lwr,upr,est
b2,margin,beta,0.0657165964439532,0.0672859638221769,0.0664926255401024
b2,margin,bks,0.0638841408337589,0.0665466589307131,0.0651666615980378
b2,margin,nks,0.0655156122585483,0.0668664772494949,0.0661796607761552
b2,margin,norm,0.0657017134693031,0.067118899181132,0.066435023990636
b2,n,100,0.0568200067938609,0.0582663848780866,0.0575044662258423
b2,n,25,0.0756722418936076,0.077412326677442,0.0765814080188467
b2,n,50,0.0633833705942627,0.064927340707709,0.0641196046840096
b2,skew,"(0,0.25]",0.0590426048424805,0.0596096927198508,0.0593005655184347
b2,skew,"(0.25,0.5]",0.0585855556585041,0.0625792885882057,0.0605267733815817
b2,skew,"(0.5,0.75]",0.0615528172161159,0.0639086170449037,0.0627319297346609
b2,skew,"(0.75,1]",0.0627483051100679,0.0649262983905885,0.0639270524365823
b2,skew,"(1,1.25]",0.0644748662320215,0.0667727804246005,0.0656337739612946
b2,skew,"(1.25,1.5]",0.067360664392937,0.0697158122361571,0.0685514798625406
b2,skew,"(1.5,1.75]",0.0693993477110935,0.072182864109632,0.0708505645856058
b2,skew,"(1.75,Inf]",0.0757543090065823,0.0783250526058659,0.0770258043291622
d,margin,beta,-4.00238214256691e-05,0.0001058134939144,3.31138829296471e-05
d,margin,bks,-0.000201164854435252,0.00021434193934472,9.24311611885738e-06
d,margin,nks,1.44619646612492e-05,0.000148846060299372,7.92513742831797e-05
d,margin,norm,-6.18493394053943e-05,0.000107312325130226,2.04127964857263e-05
d,n,100,2.62790756648436e-05,0.000163876040642977,9.73411895739418e-05
d,n,25,-0.000140904905041603,0.000142712342314272,4.0520368269982e-06
d,n,50,-9.53012182251751e-05,0.000110982424333006,5.12265096211783e-06
d,skew,"(0,0.25]",-1.35979762268648e-05,5.23846447372653e-05,1.86253253079753e-05
d,skew,"(0.25,0.5]",-0.00038886827225692,0.000304599385178865,-5.21542952992688e-05
d,skew,"(0.5,0.75]",-2.26386083220273e-05,0.000323611048795515,0.000144784092911619
d,skew,"(0.75,1]",-5.00321965036231e-05,0.000254837066869225,0.000111986677508388
d,skew,"(1,1.25]",-8.60920134245925e-05,0.000190282397028107,5.39951959121884e-05
d,skew,"(1.25,1.5]",-5.31061760127302e-05,0.000192306462835255,7.14715249063256e-05
d,skew,"(1.5,1.75]",-0.000191196311735586,8.58043586943198e-05,-5.59425227406215e-05
d,skew,"(1.75,Inf]",-0.000126475854377049,9.39681290849184e-05,-8.72365887178462e-06
p2,margin,beta,0.0567145733334269,0.0581800014199761,0.0574637747661171
p2,margin,bks,0.0551392392648536,0.0576004611723232,0.0563130817050486
p2,margin,nks,0.0570262861642756,0.058334630506239,0.0577030739513255
p2,margin,norm,0.0566442820025642,0.057977208123537,0.0573082565907719
p2,n,100,0.0532631015075593,0.0546674275632165,0.0539156348055204
p2,n,25,0.0601381722637681,0.0617368508337093,0.0609658234303682
p2,n,50,0.0559681473112884,0.0574379063129971,0.0567096820240589
p2,skew,"(0,0.25]",0.0501587677333924,0.0506885147840165,0.0504170683445163
p2,skew,"(0.25,0.5]",0.0499289330597394,0.0537926296567864,0.0517733630679992
p2,skew,"(0.5,0.75]",0.0517775029071899,0.0540885289858748,0.0529223025665942
p2,skew,"(0.75,1]",0.0539987625606095,0.0560375831627515,0.0550456427892179
p2,skew,"(1,1.25]",0.0557285424836741,0.0579689814941349,0.0568431552476694
p2,skew,"(1.25,1.5]",0.0584234405843492,0.0606022317434449,0.0595170482873795
p2,skew,"(1.5,1.75]",0.060887162942733,0.0635399292953313,0.0623443622627816
p2,skew,"(1.75,Inf]",0.0674594151921302,0.0699737637999229,0.0687134314603683
