statistic,factor,level,lwr,upr,est
b2,margin,beta,0.0661496657739319,0.0678458676636599,0.0670523967150528
b2,margin,bks,0.0591829089092622,0.0663657445704076,0.0627332370856701
b2,margin,nks,0.0627647519232367,0.0640865191996959,0.0634958881482062
b2,margin,norm,0.0643763370014971,0.0664997663181603,0.0654122753463862
b2,n,100,0.0550856083971811,0.0582357112473919,0.0565681246863003
b2,n,25,0.0735244557374966,0.0772169815826802,0.0753866148041796
b2,n,50,0.0604649649367094,0.063781545173426,0.0620656084810066
b2,skew,"(0,0.25]",0.0581760394318228,0.0592960293618004,0.0587825089574757
b2,skew,"(0.25,0.5]",0.0591709780385771,0.0659819097219841,0.0624942242555155
b2,skew,"(0.5,0.75]",0.0574490006620751,0.0620679764596147,0.059570732712529
b2,skew,"(0.75,1]",0.0596550360816231,0.0637714181507582,0.0615366453090745
b2,skew,"(1,1.25]",0.0639881169969636,0.0673946416013898,0.0657082865819687
b2,skew,"(1.25,1.5]",0.0650900991802002,0.0686516391435158,0.0668654923230988
b2,skew,"(1.5,1.75]",0.0631039437915168,0.0701323624647305,0.0666073904825504
b2,skew,"(1.75,Inf]",0.0716620438241525,0.0807421468890052,0.0758223139684181
d,margin,beta,-8.70814101121223e-06,8.12775400031867e-05,3.50437352312722e-05
d,margin,bks,-0.000260337267110711,0.000655455870987784,0.00021531314008189
d,margin,nks,-7.44881540964063e-05,8.49267501436676e-05,6.99218202004756e-06
d,margin,norm,-8.69997309480186e-05,5.9730871340526e-05,-1.65986602253403e-05
d,n,100,-0.000200340985361474,8.0369356137339e-05,-5.11470586823859e-05
d,n,25,-0.000152363325177208,0.000358771485848215,9.54663650542524e-05
d,n,50,-6.35934691651518e-05,0.000321566193240392,0.000136243491459035
d,skew,"(0,0.25]",-0.00010940718320913,4.17969720417878e-05,-2.90601865700817e-05
d,skew,"(0.25,0.5]",6.68212117616607e-05,0.00119807557455413,0.000644489469190568
d,skew,"(0.5,0.75]",-0.000318661226801262,0.000340986150382315,-3.64781429718855e-06
d,skew,"(0.75,1]",-0.000518417225325304,0.000116953347070114,-0.000176253282355519
d,skew,"(1,1.25]",9.19671868562031e-05,0.00049876563028559,0.000289760167641927
d,skew,"(1.25,1.5]",-0.000145850811340606,0.000234860646356569,3.66335985046567e-05
d,skew,"(1.5,1.75]",-0.000595050828661491,0.000263804698089758,-0.000178586102615499
d,skew,"(1.75,Inf]",-0.000431549543024128,0.000164443858272108,-0.000101835055283126
p2,margin,beta,0.0570751303733733,0.0586933067317323,0.0579297740764183
p2,margin,bks,0.0499328410839637,0.0564810371358074,0.0529806193336914
p2,margin,nks,0.0554658772960651,0.0567018723078532,0.0560959962690224
p2,margin,norm,0.0557568969461362,0.0577259134118473,0.0567243631183204
p2,n,100,0.0517841743403219,0.0548471235231806,0.0532482609482742
p2,n,25,0.0579727258746025,0.0614368139203125,0.0596686994381819
p2,n,50,0.0534031627347621,0.0565435778451861,0.0548811042116332
p2,skew,"(0,0.25]",0.049413534012508,0.0504688876810396,0.0500067223877734
p2,skew,"(0.25,0.5]",0.0499340246295442,0.0562779231101025,0.0530883425067422
p2,skew,"(0.5,0.75]",0.0485104800730396,0.0526866587981937,0.0503908829311894
p2,skew,"(0.75,1]",0.0509367097891,0.0548161496519254,0.0526050609003149
p2,skew,"(1,1.25]",0.055274185843818,0.0585070613644458,0.0568491819724963
p2,skew,"(1.25,1.5]",0.0565649469489059,0.0598558736133547,0.05815829876036
