statistic,factor,level,lwr,upr,est
b2,margin,bbinom,0.0649735833630035,0.0746340485525952,0.0694909515897779
b2,margin,dks(1),0.0573686016354146,0.0693550148835253,0.0624149699985597
b2,margin,dks(2),0.0601098277001718,0.0664751497054537,0.0631548841785864
b2,margin,dks(5),0.0516837565727888,0.0616010310685972,0.0566613124180496
b2,n,100,0.052245147855922,0.0599398275019366,0.0556750302380748
b2,n,25,0.0698007641638225,0.0784759538819142,0.0737193039775516
b2,n,50,0.0567165343802181,0.0650523981482931,0.0606510978487425
b2,skew,"(0,0.25]",0.058718652717564,0.0599037612497556,0.0592691941036968
b2,skew,"(0.25,0.5]",0.0588202432279313,0.0621064502636629,0.0604150827429306
b2,skew,"(0.5,0.75]",0.0600136922387022,0.0629298900946006,0.06150092646756
b2,skew,"(0.75,1]",0.0602270397643236,0.0649443055221507,0.0625479035331616
b2,skew,"(1,1.25]",0.0626804906981348,0.0722887203234951,0.0674715214934163
b2,skew,"(1.25,1.5]",0.0488105773297183,0.0627737758310613,0.0550200358032916
b2,skew,"(1.5,1.75]",0.0554241644337838,0.079192276264659,0.0661287443441974
b2,skew,"(1.75,Inf]",0.0641140548058751,0.0959709409754304,0.0790564770116231
d,margin,bbinom,-6.27326767479859e-05,0.000603216410328187,0.000288484403215783
d,margin,dks(1),-7.94523366306768e-05,0.00105538384015852,0.000469084940338503
d,margin,dks(2),-0.000474086853778008,0.000258349195284069,-0.000113075114025765
d,margin,dks(5),-0.000610152672190638,0.00132041742899995,0.000410915537546712
d,n,100,-0.000179709953294229,0.000470294278073839,0.000159817245077454
d,n,25,-0.000154934273344828,0.0011471076623351,0.000507852586883399
d,n,50,-0.000374183186410485,0.000523408549767464,9.44748741899912e-05
d,skew,"(0,0.25]",-0.000174687235776656,6.32064119659955e-05,-5.42760006545494e-05
d,skew,"(0.25,0.5]",-0.000342869190649165,0.000313326213329784,-2.26299177412957e-05
d,skew,"(0.5,0.75]",-9.38662756311195e-05,0.000471840678707796,0.000190713473510583
d,skew,"(0.75,1]",-0.00042742245634495,0.000480771174002256,3.1032560812575e-05
d,skew,"(1,1.25]",-0.00138509887109964,8.54731225867083e-05,-0.000654921596981105
d,skew,"(1.25,1.5]",-0.000190476884461161,0.00232913818861001,0.0010289342918847
d,skew,"(1.5,1.75]",0.000100097729614478,0.00263270532575984,0.00128951769047498
d,skew,"(1.75,Inf]",-0.000677694802812513,0.00171695980349597,0.000559160915586632
p2,margin,bbinom,0.0537361866266884,0.0632932477325237,0.058030366004442
p2,margin,dks(1),0.0454494102517924,0.0558793096864139,0.0500723264275744
p2,margin,dks(2),0.0489706126188689,0.054921515947252,0.0518468196444342
p2,margin,dks(5),0.0417712749055037,0.0507532971976274,0.0459848509070688
p2,n,100,0.047477199964588,0.054715716763156,0.0507597502615089
p2,n,25,0.0508501553884991,0.0583181423973504,0.0539757436881292
p2,n,50,0.0469572157462144,0.0546905890549248,0.0508150262557637
p2,skew,"(0,0.25]",0.0466809902459529,0.0477944589248876,0.0472155132984999
p2,skew,"(0.25,0.5]",0.0470697771962703,0.0500334791128012,0.0485610207153198
p2,skew,"(0.5,0.75]",0.0485267339976233,0.0511664433621515,0.0499108908332032
p2,skew,"(0.75,1]",0.0487369109644474,0.053132074365867,0.050854776249611
p2,skew,"(1,1.25]",0.0506870354293866,0.059752350565886,0.0552235718171317
p2,skew,"(1.25,1.5]",0.0390404940086218,0.0513095263594568,0.0443961867671975
p2,skew,"(1.5,1.75]",0.0442402437326549,0.0667571539923779,0.0546928560854268
p2,skew,"(1.75,Inf]",0.0557279859309308,0.0857911722747765,0.0689262650246283
s2,margin,bbinom,0.170404667186451,0.182683220868637,0.176462593465691
s2,margin,dks(1),0.128308795907401,0.1430960529841,0.136328273261037
s2,margin,dks(2),0.144114644720042,0.15334012662886,0.148927747414535
s2,margin,dks(5),0.121698126434796,0.141883571022224,0.131731694976579
s2,n,100,0.24375687236557,0.259303093532284,0.251665424521885
s2,n,25,0.0657317320455566,0.0734418991870778,0.0691903957420085
s2,n,50,0.121465948689744,0.13306244518235,0.127558088035063
s2,skew,"(0,0.25]",0.0336250987671613,0.0345493831531689,0.0340967394577782
s2,skew,"(0.25,0.5]",0.0823228049831441,0.0860202068160997,0.0842881552236548
s2,skew,"(0.5,0.75]",0.121366873858977,0.125317425652607,0.123211581666293
s2,skew,"(0.75,1]",0.168004771917305,0.17545047323832,0.171664517576367
s2,skew,"(1,1.25]",0.201961984922297,0.21677863179071,0.209691548635629
s2,skew,"(1.25,1.5]",0.214761787802986,0.243560993166074,0.229230933590427
s2,skew,"(1.5,1.75]",0.205678232283622,0.242224877378012,0.224939596524143
s2,skew,"(1.75,Inf]",0.111918366840625,0.15233832944822,0.133528796272183
t2,margin,bbinom,0.0558937637911578,0.0652892769549807,0.0602457914674817
t2,margin,dks(1),0.0493438791787534,0.0608378322836474,0.0541467672653289
t2,margin,dks(2),0.0512547054906539,0.0575008576821075,0.0540454551583985
t2,margin,dks(5),0.0446569380030768,0.0537320048486499,0.0488572727485699
t2,n,100,0.0483035132480241,0.055532852424394,0.0516220396171326
t2,n,25,0.0553810579313476,0.0633310658625359,0.0589917643059491
t2,n,50,0.049677766144731,0.0576447527344853,0.0534509708390275
t2,skew,"(0,0.25]",0.0490173465752157,0.0501241239072671,0.0495478956195306
t2,skew,"(0.25,0.5]",0.0491764451806645,0.0521212911239968,0.0506317109479378
t2,skew,"(0.5,0.75]",0.0507032531291954,0.0534266954259331,0.0521219909948365
t2,skew,"(0.75,1]",0.0511870645131373,0.0556989895356521,0.0532993512615047
t2,skew,"(1,1.25]",0.0537803805347962,0.0627288749803425,0.0581560456353129
t2,skew,"(1.25,1.5]",0.0421975543369209,0.055114753016426,0.0475788685808425
t2,skew,"(1.5,1.75]",0.0467646343514877,0.0700666137028271,0.0569994792455362
t2,skew,"(1.75,Inf]",0.0608515430855936,0.0919933838591413,0.0747686192415409
w2,margin,bbinom,0.075471795965346,0.085538785470372,0.0805011708165468
w2,margin,dks(1),0.0674003345598815,0.0806992703610052,0.073552399355624
w2,margin,dks(2),0.0700022492152416,0.0774626354307976,0.0736924806643322
w2,margin,dks(5),0.0615731552303848,0.0747840968796125,0.0678928999200147
w2,n,100,0.0850316611323272,0.0958791274979868,0.0906333001137267
w2,n,25,0.0553584012238517,0.0628558936417579,0.0586976464299319
w2,n,50,0.0689299793918668,0.0787893528314252,0.0736016340775525
w2,skew,"(0,0.25]",0.0473349527818466,0.0484105677477189,0.0478610111297323
w2,skew,"(0.25,0.5]",0.0557929726857717,0.0591784878902868,0.0575812673499142
w2,skew,"(0.5,0.75]",0.0630242180084395,0.0659880734782562,0.0644902074474101
w2,skew,"(0.75,1]",0.0727478012223634,0.0781524501249892,0.0753191107632031
w2,skew,"(1,1.25]",0.0818749851368169,0.0926852105911851,0.0871486811284007
w2,skew,"(1.25,1.5]",0.0745179503019319,0.0940506505589607,0.0844123630304981
w2,skew,"(1.5,1.75]",0.0720798684262034,0.0986017367743335,0.0853430712930335
w2,skew,"(1.75,Inf]",0.0845522238756937,0.12183945298791,0.102015342978792
