statistic,factor,level,lwr,upr,est
b2,margin,dks(1),0.0569583030106908,0.0735417444042682,0.0650093325359742
b2,margin,dks(10),0.0560085048215555,0.0623301808953212,0.0591821814454971
b2,margin,dks(2),0.0544632752659141,0.0696465154710898,0.0616385820785805
b2,margin,dks(5),0.0585643733363978,0.0612044725039612,0.0598985473563989
b2,n,100,0.0465632339945427,0.0576757324322251,0.0517491437678818
b2,n,25,0.0635273915335545,0.0771467309776611,0.0700885146611548
b2,n,50,0.0573014609083644,0.0729139446273477,0.064350620586466
b2,skew,"(0,0.25]",0.0591874021958384,0.0598978568729495,0.0595389996384011
b2,skew,"(0.25,0.5]",0.0581863736871947,0.0616563464377766,0.0598543926372637
b2,skew,"(0.5,0.75]",0.0574148066999194,0.0768686348748585,0.0667079350297791
b2,skew,"(0.75,1]",0.0486987374646222,0.0885666794271108,0.0668818384498965
d,margin,dks(1),-0.00201291915366451,0.00135839103722837,-0.000305999073437024
d,margin,dks(10),-0.000963672623972059,0.000449967969892293,-0.000159639750236314
d,margin,dks(2),-0.00214843610906595,0.0011081589028321,-0.000601691267313617
d,margin,dks(5),-0.000482066731099249,0.000189069562434837,-0.000138506843057304
d,n,100,-0.000958418115034137,0.000636411148945925,-0.000184707860727202
d,n,25,-0.00214089618886441,0.00140214023349439,-0.000327034496021902
d,n,50,-0.00182242125270126,0.000779402841697154,-0.000545021280648346
d,skew,"(0,0.25]",-9.24550723606245e-05,9.09287140284708e-05,-3.18089965845593e-06
d,skew,"(0.25,0.5]",-0.000542996228084519,0.000294665424965824,-9.62595946952744e-05
d,skew,"(0.5,0.75]",-0.00332082363044399,0.00142252443009325,-0.000806725468282398
d,skew,"(0.75,1]",-0.00498961516907195,0.00335857342994595,-0.00110792081780504
p2,margin,dks(1),0.0459280768939047,0.0604197499372499,0.0530370493829309
p2,margin,dks(10),0.0443231484650804,0.0499126369202659,0.0468675090490851
p2,margin,dks(2),0.0421103420221607,0.0555049625084061,0.0482794645482163
p2,margin,dks(5),0.0479515579766917,0.0504086364078871,0.0492146693081731
p2,n,100,0.0434789868542129,0.0545573283037786,0.0486198988296739
p2,n,25,0.0417973019876472,0.0527534358457218,0.0474109861929631
p2,n,50,0.0471294542574504,0.0605031197138248,0.0533267180871393
p2,skew,"(0,0.25]",0.0483190593764146,0.0489588380088505,0.0486062042323093
p2,skew,"(0.25,0.5]",0.0475176139590555,0.0507305987315985,0.0491218272774182
p2,skew,"(0.5,0.75]",0.0460301853322212,0.063481260671843,0.0539608006692045
p2,skew,"(0.75,1]",0.0341789995131061,0.0694289387414252,0.0492983425308931
s2,margin,dks(1),0.137614890014516,0.163848323266924,0.150735465478454
s2,margin,dks(10),0.0365377789874565,0.0419793400322462,0.0390417695477608
s2,margin,dks(2),0.146267442792745,0.172816312086811,0.159966410312051
s2,margin,dks(5),0.0549310110798802,0.057941411228851,0.0563698338688095
s2,n,100,0.182626916408881,0.20716787633783,0.195707891355692
s2,n,25,0.0488874859610222,0.0661422598408433,0.0573839642021986
s2,n,50,0.0941033896862166,0.116021172838635,0.1053158219409
s2,skew,"(0,0.25]",0.032890007580629,0.0334087482833586,0.0331443061335932
s2,skew,"(0.25,0.5]",0.0815657921435926,0.0850872101244926,0.0833190725892213
s2,skew,"(0.5,0.75]",0.151841204471248,0.180466850292915,0.166539492581579
s2,skew,"(0.75,1]",0.283867172792938,0.354933693545908,0.317349104970373
t2,margin,dks(1),0.0464613250072059,0.0614001130326864,0.0538042653317838
t2,margin,dks(10),0.0471861433079633,0.0529230238051583,0.0500235513251685
t2,margin,dks(2),0.0438432357953798,0.0574509736872475,0.0501083520191732
t2,margin,dks(5),0.0491135187362604,0.0516128656133526,0.0503935735327922
t2,n,100,0.0435916816498875,0.0546383597020415,0.0487005252037715
t2,n,25,0.0458935405532628,0.057931080158147,0.0521115632484038
t2,n,50,0.0471276308701715,0.0604214654952396,0.053309091327762
t2,skew,"(0,0.25]",0.0492687228384231,0.049932194017418,0.0495710358275362
t2,skew,"(0.25,0.5]",0.0489098640190259,0.0522508353441308,0.0506737641179208
t2,skew,"(0.5,0.75]",0.04847197154195,0.0661667739207848,0.0567000311731553
t2,skew,"(0.75,1]",0.0348207437331926,0.0710097732009999,0.0510527284958053
w2,margin,dks(1),0.0600368343055412,0.0794545511373676,0.0696177975471665
w2,margin,dks(10),0.042699859160074,0.0478699369822655,0.0451722184008062
w2,margin,dks(2),0.0511279863406102,0.0675957502073514,0.0583133368012807
w2,margin,dks(5),0.0466910357040524,0.0491087654482951,0.0479529238202477
w2,n,100,0.0565520247394375,0.0715756752367526,0.0638724754241818
w2,n,25,0.0448780717229126,0.0583687076416154,0.0509055114739009
w2,n,50,0.052243146908928,0.0677177905325626,0.0597157185608914
w2,skew,"(0,0.25]",0.0456759254189333,0.0462665018946315,0.0459466000617199
w2,skew,"(0.25,0.5]",0.0503704861387412,0.0533704431511124,0.0517706721365029
w2,skew,"(0.5,0.75]",0.0574267336681854,0.0767163862782885,0.0672169395949816
w2,skew,"(0.75,1]",0.0641433598175042,0.110767011214401,0.0863359269265212
